iter	Passed	Remaining
0	62	62245
1	62	31360
2	63	21038
3	63	15882
4	64	12786
5	64	10740
6	65	9280
7	66	8198
8	66	7362
9	67	6681
10	68	6125
11	68	5666
12	69	5261
13	69	4912
14	70	4616
15	70	4357
16	71	4129
17	71	3925
18	72	3744
19	73	3584
20	73	3441
21	74	3307
22	75	3189
23	75	3078
24	76	2976
25	76	2878
26	77	2789
27	77	2706
28	78	2629
29	79	2558
30	79	2497
31	80	2441
32	81	2392
33	82	2340
34	82	2288
35	84	2263
36	85	2213
37	85	2166
38	86	2121
39	86	2087
40	87	2050
41	88	2011
42	88	1973
43	89	1936
44	89	1902
45	90	1870
46	90	1839
47	91	1809
48	91	1781
49	92	1755
50	92	1727
51	93	1703
52	93	1678
53	94	1655
54	95	1634
55	95	1613
56	96	1604
57	97	1583
58	97	1561
59	98	1540
60	98	1521
61	99	1505
62	100	1487
63	100	1471
64	101	1455
65	101	1440
66	102	1425
67	102	1405
68	103	1394
69	103	1380
70	104	1366
71	104	1352
72	105	1338
73	105	1325
74	106	1312
75	107	1300
76	107	1288
77	108	1277
78	108	1265
79	109	1254
80	109	1243
81	110	1232
82	110	1221
83	111	1211
84	111	1198
85	111	1188
86	112	1178
87	112	1170
88	113	1162
89	114	1155
90	114	1148
91	115	1143
92	116	1136
93	117	1128
94	117	1120
95	118	1114
96	118	1106
97	119	1099
98	119	1092
99	120	1084
100	120	1076
101	121	1066
102	121	1059
103	122	1052
104	122	1045
105	123	1039
106	123	1033
107	124	1027
108	124	1020
109	125	1014
110	125	1008
111	126	1001
112	126	995
113	127	991
114	128	985
115	128	977
116	130	981
117	130	976
118	130	969
119	131	964
120	132	958
121	132	954
122	132	947
123	133	941
124	133	936
125	134	931
126	134	926
127	135	919
128	135	915
129	136	911
130	136	906
131	137	902
132	137	899
133	138	895
134	139	891
135	139	887
136	140	882
137	140	877
138	140	872
139	141	868
140	141	864
141	142	860
142	142	855
143	143	851
144	143	847
145	144	844
146	144	840
147	145	836
148	145	832
149	146	829
150	146	826
151	148	826
152	148	822
153	149	819
154	149	815
155	150	812
156	150	809
157	151	805
158	151	801
159	152	798
160	152	794
161	153	792
162	153	788
163	153	784
164	154	781
165	154	777
166	155	774
167	155	771
168	156	770
169	157	767
170	157	764
171	158	761
172	159	761
173	159	758
174	160	755
175	160	752
176	161	751
177	162	749
178	162	747
179	163	746
180	164	742
181	164	739
182	165	737
183	165	735
184	166	734
185	167	732
186	168	730
187	168	728
188	169	725
189	169	724
190	170	721
191	170	718
192	171	716
193	172	714
194	172	711
195	172	709
196	173	706
197	173	704
198	174	701
199	174	699
200	175	697
201	175	694
202	176	693
203	177	690
204	177	688
205	178	686
206	178	684
207	179	682
208	179	680
209	180	678
210	180	676
211	181	675
212	182	673
213	182	671
214	183	669
215	183	666
216	184	665
217	184	663
218	185	661
219	185	659
220	186	657
221	187	655
222	187	653
223	188	651
224	188	649
225	188	647
226	189	644
227	189	643
228	190	641
229	190	639
230	191	637
231	191	635
232	192	633
233	192	631
234	193	629
235	193	627
236	194	626
237	195	624
238	195	623
239	196	622
240	197	620
241	197	619
242	198	617
243	198	615
244	198	613
245	199	611
246	199	609
247	200	607
248	200	605
249	201	603
250	201	601
251	202	600
252	202	598
253	203	596
254	203	594
255	204	593
256	204	591
257	205	589
258	205	587
259	205	586
260	206	584
261	206	582
262	207	581
263	208	582
264	209	581
265	210	580
266	210	578
267	211	576
268	211	575
269	212	573
270	212	572
271	213	570
272	213	568
273	214	567
274	214	565
275	215	564
276	215	562
277	216	561
278	216	559
279	217	558
280	217	556
281	218	555
282	218	553
283	218	552
284	219	550
285	219	548
286	220	547
287	220	545
288	221	544
289	221	542
290	222	541
291	222	539
292	223	538
293	223	536
294	223	535
295	224	534
296	225	533
297	225	531
298	226	531
299	226	529
300	227	528
301	227	526
302	228	525
303	228	524
304	229	522
305	229	521
306	230	520
307	230	518
308	231	517
309	231	515
310	232	514
311	232	512
312	233	511
313	233	510
314	234	508
315	234	507
316	234	506
317	235	504
318	235	503
319	236	502
320	236	500
321	237	499
322	237	498
323	238	497
324	238	496
325	239	494
326	240	494
327	240	492
328	240	491
329	241	490
330	242	489
331	242	488
332	243	487
333	244	486
334	244	485
335	245	484
336	245	483
337	246	482
338	246	480
339	247	479
340	247	478
341	248	477
342	248	476
343	249	475
344	249	474
345	250	473
346	250	471
347	251	470
348	251	469
349	252	468
350	252	467
351	253	465
352	253	464
353	253	463
354	254	462
355	254	461
356	255	460
357	256	459
358	256	458
359	257	457
360	258	456
361	258	455
362	259	454
363	259	453
364	260	452
365	260	451
366	260	449
367	261	448
368	261	447
369	262	446
370	262	445
371	263	444
372	263	443
373	264	442
374	264	441
375	265	440
376	265	438
377	266	437
378	266	436
379	267	435
380	267	434
381	268	433
382	268	432
383	268	431
384	269	430
385	269	429
386	270	428
387	270	427
388	271	426
389	272	426
390	272	425
391	273	424
392	273	423
393	274	422
394	275	421
395	275	420
396	276	419
397	276	418
398	277	417
399	277	416
400	277	415
401	278	414
402	278	413
403	279	412
404	279	410
405	280	409
406	280	408
407	281	407
408	281	406
409	282	406
410	282	405
411	283	404
412	283	403
413	284	402
414	284	401
415	285	400
416	285	399
417	286	398
418	286	397
419	287	397
420	288	396
421	288	395
422	289	394
423	289	393
424	290	392
425	290	391
426	291	390
427	291	389
428	292	388
429	292	387
430	293	386
431	293	386
432	294	385
433	294	384
434	295	383
435	295	382
436	296	381
437	296	380
438	297	379
439	297	378
440	298	377
441	298	377
442	299	376
443	299	375
444	300	374
445	300	373
446	301	372
447	302	372
448	303	371
449	303	371
450	304	370
451	304	369
452	305	368
453	305	367
454	306	367
455	306	366
456	307	365
457	307	364
458	308	363
459	309	362
460	309	362
461	310	361
462	310	360
463	310	359
464	311	358
465	312	358
466	313	357
467	313	356
468	314	355
469	314	354
470	315	353
471	315	353
472	316	352
473	316	351
474	317	350
475	318	350
476	318	349
477	319	348
478	319	347
479	320	347
480	321	346
481	321	345
482	322	344
483	322	344
484	323	343
485	323	342
486	324	341
487	324	340
488	325	339
489	325	339
490	326	338
491	326	337
492	327	336
493	327	335
494	328	334
495	328	333
496	329	333
497	329	332
498	330	331
499	330	330
500	330	329
501	331	328
502	332	328
503	333	327
504	333	327
505	334	326
506	335	325
507	335	325
508	336	324
509	336	323
510	337	322
511	337	321
512	338	320
513	338	320
514	338	319
515	339	318
516	339	317
517	340	316
518	340	315
519	341	315
520	341	314
521	342	313
522	342	312
523	343	311
524	343	310
525	344	310
526	344	309
527	345	308
528	345	307
529	346	306
530	346	306
531	347	305
532	347	304
533	348	303
534	349	303
535	349	302
536	350	301
537	350	301
538	351	300
539	351	299
540	351	298
541	352	297
542	352	296
543	353	296
544	353	295
545	354	294
546	354	293
547	355	293
548	355	292
549	356	291
550	356	290
551	357	289
552	357	288
553	357	288
554	358	287
555	358	286
556	359	285
557	359	284
558	360	284
559	360	283
560	361	282
561	361	281
562	362	281
563	362	280
564	363	279
565	364	279
566	364	278
567	365	277
568	365	277
569	366	276
570	366	275
571	367	274
572	367	273
573	368	273
574	368	272
575	369	271
576	369	271
577	370	270
578	370	269
579	371	268
580	371	268
581	372	267
582	372	266
583	373	265
584	373	265
585	374	264
586	374	263
587	374	262
588	375	261
589	375	261
590	376	260
591	377	259
592	378	259
593	379	259
594	380	258
595	380	257
596	381	257
597	381	256
598	382	255
599	382	255
600	383	254
601	383	253
602	384	252
603	384	252
604	385	251
605	385	250
606	386	249
607	386	249
608	387	248
609	387	247
610	388	247
611	388	246
612	389	245
613	389	244
614	390	244
615	390	243
616	391	242
617	391	242
618	392	241
619	392	240
620	393	240
621	394	239
622	395	239
623	395	238
624	396	237
625	396	237
626	397	236
627	397	235
628	398	234
629	398	234
630	399	233
631	399	232
632	400	232
633	400	231
634	401	230
635	401	229
636	402	229
637	402	228
638	403	227
639	403	227
640	404	226
641	404	225
642	405	224
643	405	224
644	406	223
645	406	222
646	407	222
647	407	221
648	408	220
649	409	220
650	409	219
651	410	218
652	410	218
653	411	217
654	411	216
655	412	216
656	412	215
657	413	214
658	414	214
659	414	213
660	415	212
661	415	212
662	416	211
663	416	210
664	417	210
665	417	209
666	418	208
667	418	208
668	419	207
669	419	206
670	420	206
671	420	205
672	421	204
673	422	204
674	422	203
675	423	202
676	424	202
677	424	201
678	425	200
679	425	200
680	426	199
681	426	198
682	427	198
683	427	197
684	428	196
685	428	196
686	429	195
687	429	194
688	430	194
689	430	193
690	431	192
691	431	192
692	432	191
693	433	191
694	433	190
695	434	189
696	435	189
697	435	188
698	436	187
699	436	187
700	437	186
701	438	186
702	440	186
703	441	185
704	442	185
705	442	184
706	443	183
707	444	183
708	444	182
709	445	181
710	446	181
711	446	180
712	447	180
713	447	179
714	448	178
715	448	177
716	449	177
717	449	176
718	450	176
719	450	175
720	451	174
721	452	174
722	452	173
723	454	173
724	455	172
725	456	172
726	457	171
727	457	171
728	458	170
729	458	169
730	459	169
731	459	168
732	460	167
733	461	167
734	461	166
735	462	165
736	462	165
737	463	164
738	463	163
739	464	163
740	464	162
741	465	161
742	465	161
743	466	160
744	466	159
745	467	159
746	467	158
747	468	157
748	469	157
749	469	156
750	470	155
751	470	155
752	471	154
753	471	153
754	472	153
755	472	152
756	473	151
757	473	151
758	474	150
759	474	149
760	475	149
761	476	148
762	476	148
763	477	147
764	477	146
765	478	146
766	478	145
767	479	144
768	479	144
769	480	143
770	480	142
771	481	142
772	481	141
773	482	140
774	482	140
775	483	139
776	483	138
777	483	138
778	484	137
779	485	136
780	485	136
781	486	135
782	486	134
783	487	134
784	487	133
785	488	132
786	488	132
787	489	131
788	489	131
789	490	130
790	490	129
791	491	129
792	491	128
793	492	127
794	492	127
795	493	126
796	494	125
797	494	125
798	495	124
799	495	123
800	496	123
801	496	122
802	497	122
803	497	121
804	498	120
805	498	120
806	499	119
807	499	118
808	500	118
809	501	117
810	501	116
811	502	116
812	502	115
813	503	114
814	503	114
815	504	113
816	504	113
817	504	112
818	505	111
819	506	111
820	506	110
821	507	109
822	507	109
823	508	108
824	508	107
825	509	107
826	509	106
827	510	105
828	510	105
829	511	104
830	511	104
831	512	103
832	512	102
833	513	102
834	514	101
835	514	100
836	515	100
837	515	99
838	516	99
839	516	98
840	517	97
841	517	97
842	518	96
843	519	95
844	519	95
845	520	94
846	520	94
847	521	93
848	521	92
849	522	92
850	522	91
851	523	90
852	523	90
853	524	89
854	524	88
855	525	88
856	525	87
857	526	87
858	526	86
859	527	85
860	527	85
861	528	84
862	528	83
863	529	83
864	529	82
865	530	82
866	531	81
867	531	80
868	532	80
869	532	79
870	533	79
871	534	78
872	535	77
873	535	77
874	536	76
875	537	76
876	538	75
877	538	74
878	539	74
879	540	73
880	540	73
881	541	72
882	542	71
883	543	71
884	544	70
885	545	70
886	546	69
887	547	68
888	547	68
889	548	67
890	549	67
891	549	66
892	550	65
893	551	65
894	551	64
895	552	64
896	552	63
897	553	62
898	554	62
899	554	61
900	555	61
901	555	60
902	556	59
903	556	59
904	557	58
905	558	57
906	559	57
907	559	56
908	561	56
909	561	55
910	562	54
911	562	54
912	563	53
913	563	53
914	564	52
915	564	51
916	565	51
917	565	50
918	566	49
919	567	49
920	568	48
921	568	48
922	571	47
923	572	47
924	572	46
925	573	45
926	573	45
927	574	44
928	574	43
929	575	43
930	576	42
931	577	42
932	577	41
933	578	40
934	578	40
935	579	39
936	579	38
937	580	38
938	581	37
939	581	37
940	582	36
941	582	35
942	583	35
943	584	34
944	584	34
945	585	33
946	585	32
947	586	32
948	587	31
949	587	30
950	588	30
951	588	29
952	589	29
953	590	28
954	590	27
955	591	27
956	591	26
957	592	25
958	592	25
959	593	24
960	594	24
961	594	23
962	595	22
963	595	22
964	596	21
965	596	21
966	597	20
967	598	19
968	598	19
969	599	18
970	599	17
971	600	17
972	601	16
973	601	16
974	602	15
975	602	14
976	603	14
977	604	13
978	604	12
979	605	12
980	605	11
981	606	11
982	606	10
983	607	9
984	608	9
985	608	8
986	609	8
987	609	7
988	610	6
989	611	6
990	611	5
991	612	4
992	612	4
993	613	3
994	614	3
995	614	2
996	615	1
997	615	1
998	616	0
999	617	0
