iter	Passed	Remaining
0	59	59095
1	59	29727
2	59	19924
3	60	15028
4	60	12093
5	61	10132
6	61	8739
7	61	7682
8	62	6863
9	62	6208
10	63	5671
11	63	5223
12	63	4848
13	64	4529
14	64	4251
15	65	4004
16	65	3791
17	65	3598
18	66	3428
19	66	3271
20	67	3130
21	67	3001
22	67	2882
23	68	2778
24	68	2682
25	69	2594
26	69	2509
27	70	2433
28	70	2361
29	70	2293
30	71	2228
31	71	2167
32	72	2111
33	72	2057
34	72	2006
35	73	1959
36	74	1929
37	75	1906
38	75	1868
39	76	1830
40	76	1793
41	77	1758
42	77	1734
43	78	1711
44	79	1684
45	80	1660
46	80	1634
47	81	1608
48	81	1582
49	82	1558
50	82	1537
51	83	1518
52	83	1499
53	84	1478
54	84	1458
55	85	1439
56	86	1423
57	86	1404
58	86	1387
59	87	1369
60	87	1351
61	88	1334
62	88	1317
63	90	1317
64	90	1304
65	92	1302
66	92	1287
67	92	1273
68	93	1258
69	93	1244
70	94	1230
71	94	1216
72	94	1204
73	95	1191
74	95	1179
75	95	1167
76	96	1155
77	96	1144
78	97	1132
79	97	1122
80	98	1112
81	98	1102
82	98	1090
83	99	1081
84	99	1071
85	99	1062
86	100	1053
87	100	1044
88	101	1034
89	101	1026
90	101	1017
91	102	1009
92	102	1001
93	103	993
94	103	985
95	103	977
96	104	969
97	104	962
98	104	955
99	105	947
100	105	940
101	106	933
102	106	927
103	106	920
104	107	914
105	107	907
106	108	902
107	108	896
108	108	890
109	109	884
110	109	878
111	110	872
112	110	866
113	110	861
114	111	856
115	111	850
116	111	844
117	112	839
118	112	835
119	113	830
120	113	825
121	113	819
122	114	815
123	114	810
124	115	806
125	115	801
126	115	796
127	116	791
128	116	787
129	117	783
130	117	778
131	117	774
132	118	770
133	118	765
134	118	761
135	119	757
136	119	753
137	119	749
138	120	745
139	120	741
140	121	737
141	121	732
142	121	728
143	121	724
144	122	721
145	122	717
146	123	715
147	123	711
148	123	708
149	124	704
150	124	701
151	125	697
152	125	694
153	125	691
154	126	688
155	126	685
156	127	682
157	127	678
158	127	675
159	128	673
160	128	669
161	128	666
162	129	664
163	129	662
164	130	662
165	131	660
